row,kind,group,instance_id
0,gt,ground_truth,astropy__astropy-12907
1,gt,ground_truth,astropy__astropy-13033
2,gt,ground_truth,astropy__astropy-13236
3,gt,ground_truth,astropy__astropy-13398
4,gt,ground_truth,astropy__astropy-13453
5,gt,ground_truth,astropy__astropy-13579
6,gt,ground_truth,astropy__astropy-13977
7,gt,ground_truth,astropy__astropy-14096
8,gt,ground_truth,astropy__astropy-14182
9,gt,ground_truth,astropy__astropy-14309
10,gt,ground_truth,astropy__astropy-14365
11,gt,ground_truth,astropy__astropy-14369
12,gt,ground_truth,astropy__astropy-14508
13,gt,ground_truth,astropy__astropy-14539
14,gt,ground_truth,astropy__astropy-14598
15,gt,ground_truth,astropy__astropy-14995
16,gt,ground_truth,astropy__astropy-7166
17,gt,ground_truth,astropy__astropy-7336
18,gt,ground_truth,astropy__astropy-7606
19,gt,ground_truth,astropy__astropy-7671
20,gt,ground_truth,astropy__astropy-8707
21,gt,ground_truth,astropy__astropy-8872
22,gt,ground_truth,django__django-10097
23,gt,ground_truth,django__django-10554
24,gt,ground_truth,django__django-10880
25,gt,ground_truth,django__django-10914
26,gt,ground_truth,django__django-10973
27,gt,ground_truth,django__django-10999
28,gt,ground_truth,django__django-11066
29,gt,ground_truth,django__django-11087
30,gt,ground_truth,django__django-11095
31,gt,ground_truth,django__django-11099
32,gt,ground_truth,django__django-11119
33,gt,ground_truth,django__django-11133
34,gt,ground_truth,django__django-11138
35,gt,ground_truth,django__django-11141
36,gt,ground_truth,django__django-11149
37,gt,ground_truth,django__django-11163
38,gt,ground_truth,django__django-11179
39,gt,ground_truth,django__django-11206
40,gt,ground_truth,django__django-11211
41,gt,ground_truth,django__django-11239
42,gt,ground_truth,django__django-11265
43,gt,ground_truth,django__django-11276
44,gt,ground_truth,django__django-11292
45,gt,ground_truth,django__django-11299
46,gt,ground_truth,django__django-11333
47,gt,ground_truth,django__django-11400
48,gt,ground_truth,django__django-11433
49,gt,ground_truth,django__django-11451
50,gt,ground_truth,django__django-11477
51,gt,ground_truth,django__django-11490
52,gt,ground_truth,django__django-11532
53,gt,ground_truth,django__django-11551
54,gt,ground_truth,django__django-11555
55,gt,ground_truth,django__django-11603
56,gt,ground_truth,django__django-11728
57,gt,ground_truth,django__django-11734
58,gt,ground_truth,django__django-11740
59,gt,ground_truth,django__django-11749
60,gt,ground_truth,django__django-11790
61,gt,ground_truth,django__django-11815
62,gt,ground_truth,django__django-11820
63,gt,ground_truth,django__django-11848
64,gt,ground_truth,django__django-11880
65,gt,ground_truth,django__django-11885
66,gt,ground_truth,django__django-11951
67,gt,ground_truth,django__django-11964
68,gt,ground_truth,django__django-11999
69,gt,ground_truth,django__django-12039
70,gt,ground_truth,django__django-12050
71,gt,ground_truth,django__django-12125
72,gt,ground_truth,django__django-12143
73,gt,ground_truth,django__django-12155
74,gt,ground_truth,django__django-12193
75,gt,ground_truth,django__django-12209
76,gt,ground_truth,django__django-12262
77,gt,ground_truth,django__django-12273
78,gt,ground_truth,django__django-12276
79,gt,ground_truth,django__django-12304
80,gt,ground_truth,django__django-12308
81,gt,ground_truth,django__django-12325
82,gt,ground_truth,django__django-12406
83,gt,ground_truth,django__django-12419
84,gt,ground_truth,django__django-12663
85,gt,ground_truth,django__django-12708
86,gt,ground_truth,django__django-12713
87,gt,ground_truth,django__django-12741
88,gt,ground_truth,django__django-12754
89,gt,ground_truth,django__django-12774
90,gt,ground_truth,django__django-12858
91,gt,ground_truth,django__django-12965
92,gt,ground_truth,django__django-13012
93,gt,ground_truth,django__django-13023
94,gt,ground_truth,django__django-13028
95,gt,ground_truth,django__django-13033
96,gt,ground_truth,django__django-13089
97,gt,ground_truth,django__django-13109
98,gt,ground_truth,django__django-13112
99,gt,ground_truth,django__django-13121
100,gt,ground_truth,django__django-13128
101,gt,ground_truth,django__django-13158
102,gt,ground_truth,django__django-13195
103,gt,ground_truth,django__django-13212
104,gt,ground_truth,django__django-13279
105,gt,ground_truth,django__django-13297
106,gt,ground_truth,django__django-13315
107,gt,ground_truth,django__django-13343
108,gt,ground_truth,django__django-13344
109,gt,ground_truth,django__django-13346
110,gt,ground_truth,django__django-13363
111,gt,ground_truth,django__django-13401
112,gt,ground_truth,django__django-13406
113,gt,ground_truth,django__django-13410
114,gt,ground_truth,django__django-13417
115,gt,ground_truth,django__django-13449
116,gt,ground_truth,django__django-13512
117,gt,ground_truth,django__django-13513
118,gt,ground_truth,django__django-13516
119,gt,ground_truth,django__django-13551
120,gt,ground_truth,django__django-13568
121,gt,ground_truth,django__django-13569
122,gt,ground_truth,django__django-13590
123,gt,ground_truth,django__django-13658
124,gt,ground_truth,django__django-13670
125,gt,ground_truth,django__django-13741
126,gt,ground_truth,django__django-13786
127,gt,ground_truth,django__django-13794
128,gt,ground_truth,django__django-13807
129,gt,ground_truth,django__django-13809
130,gt,ground_truth,django__django-13810
131,gt,ground_truth,django__django-13820
132,gt,ground_truth,django__django-13821
133,gt,ground_truth,django__django-13837
134,gt,ground_truth,django__django-13925
135,gt,ground_truth,django__django-13933
136,gt,ground_truth,django__django-13964
137,gt,ground_truth,django__django-14007
138,gt,ground_truth,django__django-14011
139,gt,ground_truth,django__django-14017
140,gt,ground_truth,django__django-14034
141,gt,ground_truth,django__django-14053
142,gt,ground_truth,django__django-14089
143,gt,ground_truth,django__django-14122
144,gt,ground_truth,django__django-14140
145,gt,ground_truth,django__django-14155
146,gt,ground_truth,django__django-14170
147,gt,ground_truth,django__django-14238
148,gt,ground_truth,django__django-14311
149,gt,ground_truth,django__django-14315
150,gt,ground_truth,django__django-14349
151,gt,ground_truth,django__django-14351
152,gt,ground_truth,django__django-14373
153,gt,ground_truth,django__django-14376
154,gt,ground_truth,django__django-14404
155,gt,ground_truth,django__django-14434
156,gt,ground_truth,django__django-14493
157,gt,ground_truth,django__django-14500
158,gt,ground_truth,django__django-14534
159,gt,ground_truth,django__django-14539
160,gt,ground_truth,django__django-14559
161,gt,ground_truth,django__django-14580
162,gt,ground_truth,django__django-14608
163,gt,ground_truth,django__django-14631
164,gt,ground_truth,django__django-14672
165,gt,ground_truth,django__django-14725
166,gt,ground_truth,django__django-14752
167,gt,ground_truth,django__django-14765
168,gt,ground_truth,django__django-14771
169,gt,ground_truth,django__django-14787
170,gt,ground_truth,django__django-14792
171,gt,ground_truth,django__django-14855
172,gt,ground_truth,django__django-14915
173,gt,ground_truth,django__django-14999
174,gt,ground_truth,django__django-15022
175,gt,ground_truth,django__django-15037
176,gt,ground_truth,django__django-15098
177,gt,ground_truth,django__django-15103
178,gt,ground_truth,django__django-15104
179,gt,ground_truth,django__django-15127
180,gt,ground_truth,django__django-15128
181,gt,ground_truth,django__django-15161
182,gt,ground_truth,django__django-15252
183,gt,ground_truth,django__django-15268
184,gt,ground_truth,django__django-15277
185,gt,ground_truth,django__django-15278
186,gt,ground_truth,django__django-15280
187,gt,ground_truth,django__django-15315
188,gt,ground_truth,django__django-15368
189,gt,ground_truth,django__django-15375
190,gt,ground_truth,django__django-15380
191,gt,ground_truth,django__django-15382
192,gt,ground_truth,django__django-15467
193,gt,ground_truth,django__django-15499
194,gt,ground_truth,django__django-15503
195,gt,ground_truth,django__django-15525
196,gt,ground_truth,django__django-15554
197,gt,ground_truth,django__django-15561
198,gt,ground_truth,django__django-15563
199,gt,ground_truth,django__django-15569
200,gt,ground_truth,django__django-15572
201,gt,ground_truth,django__django-15629
202,gt,ground_truth,django__django-15695
203,gt,ground_truth,django__django-15731
204,gt,ground_truth,django__django-15732
